,y,V1x_ib,V2x_ib,V1z_ib,V2z_ib,V1x_wt,V2x_wt,V1z_wt,V2z_wt
54,-6.457692255156555,-0.0890954115956488,-2.766424567452424,-0.008121146553354273,1.8500818503145435,-0.0012554792136606954,-0.002028663808430014,-5.429110990914358e-05,-0.0003638622913649128
55,-6.367404343287619,-0.09047132783061582,7.727307547568159,-0.008239744884342369,-7.486830822421087,-0.001260912455564,-0.0020216375767014676,-5.493504847906385e-05,-0.0003580788007220067
56,-6.219542711932519,-0.09278539807054323,13.633213881253813,-0.008438160466101437,-13.718063854945814,-0.0012697371538952203,-0.0020097081243656808,-5.6008910452187894e-05,-0.0003488817663716905
57,-6.071681080577417,-0.095178184453785,16.26043940297234,-0.008642024446670254,-17.582426998420633,-0.0012784629049046527,-0.0019972808658470665,-5.710737127252117e-05,-0.00034001164057347413
58,-5.923819449222313,-0.09765366863708641,16.572467118052327,-0.008851646299284104,-19.54537190337996,-0.0012870799670026802,-0.00198438688081923,-5.823117958553887e-05,-0.000331453286769459
59,-5.77595781786721,-0.10021613374006447,15.639749079988306,-0.00906737085573188,-20.377177841676648,-0.0012955781182098186,-0.0019710568414491496,-5.938111592610298e-05,-0.0003231923736821435
60,-5.628096186512106,-0.10287019319571009,14.67527483405874,-0.009289582614800472,-21.34994541059639,-0.0013039466346170007,-0.001957320857222859,-6.055799443713699e-05,-0.00031521533550711404
61,-5.480234555157004,-0.10562082265058248,13.242201462689204,-0.009518710536784025,-21.834026462384212,-0.0013121742678676278,-0.0019432083511612295,-6.176266469158759e-05,-0.00030750933268121236
62,-5.3323729238019,-0.10847339525541655,11.487629824208762,-0.009755233376550154,-21.88522357422806,-0.0013202492216131518,-0.0019287479625770749,-6.299601362324761e-05,-0.00030006221356136843
63,-5.184511292446798,-0.1114337207268338,9.716936878434122,-0.009999685613338805,-21.911012091357335,-0.0013281591268931962,-0.001913967472244093,-6.425896757357213e-05,-0.00029286247726409295
64,-5.036649661091694,-0.11450808860564815,8.347902006880918,-0.010252664041751982,-22.93747960873072,-0.0013358910163869546,-0.0018988937464615987,-6.555249446226898e-05,-0.00028589923784119866
65,-4.888788029736592,-0.11770331618745754,6.431329695443651,-0.010514835095317462,-22.7456385493811,-0.001343431297481175,-0.00188355269701625,-6.68776060876953e-05,-0.0002791621899039839
66,-4.740926398381488,-0.12102680165741098,4.929366566367941,-0.01078694298163023,-24.135020656984512,-0.001350765724096065,-0.0018679692544850124,-6.82353605668141e-05,-0.0002726415757711533
